Background	FLAGS	OMIM	HGMD	WES
DHTKD1		NPC2	NR1I3	
DLGAP4		NYX	KLHL9	
DMPK		GRM6	PRND	
ENPEP		TRPM1	GDF9	
ERAP1		SLC24A1	ZCCHC12	
FAM149A		GPR179	DISC1	
FAM171A1		LRIT3	SCN3A	
FLT3		CABP4	NPPA	
FSTL4		RHO	MTHFD1	
FTSJ3		PDE6B	FTH1	
GALNT11		GNAT1	PGAM1	
GAS8		RAD50	KLHL10	
GPR142		RIT1	CRYBB3	
HLCS		CBL	ATP2B2	
L3MBTL1		SHOC2	GNRH1	
LIFR		FRMD7	BVES	
LIG4		GPR143	AKR1C4	
LRRC16A		CD4	COQ5	
LRRC37A3		PCSK1	GPATCH8	
LRRFIP2		POMC	SIX2	
MCM8		MC4R	IFT43	
MPRIP		NTRK2	EPS8L3	
MTBP		NR0B2	LRBA	
MX1		LEP	PECR	
NECAB2		LEPR	JAK2	
NFATC3		SIM1	USP9Y	
NRG1		RP1L1	GTF2H5	
PCDHA4		HMX1	TRPA1	
PDILT		PABPN1	VAX1	
PEX6		WNT10A	B2M	
PFKL		SAG	CFHR1	
PHLPP1		GRK1	TRIM63	
PLA2G4C		TRPV3	KLK4	
PRKD1		DCLRE1C	GALNT2	
PSG9		GPC6	DND1	
RABL6		MID1	CACNG2	
RFX7		INPPL1	GCGR	
RGL4		OPA1	MSR1	
RPS6KC1		TMEM126A	KDM6B	
RTN3		OTC	ESR1	
SALL4		SUMO1	GCNT2	
SCAF4		IRF6	NUB1	
SEMA3G		DDX59	EDA2R	
SFSWAP		UMPS	CD79B	
SLC6A13		SLC6A2	ZNF750	
STIL		ACAN	BMS1	
THBS4		PPIB	IBA57	
TMCO4		IFITM5	SNCA	
TRPV4		SERPINF1	GAP43	
TTLL12		CRTAP	LAMA1	
UBASH3A		LEPRE1	MME	
XYLT1		SERPINH1	MPDU1	
ZFAND4		FKBP10	NLGN3	
ZNF229		SP7	WWOX	
ZNF611		BMP1	CALM2	
ACO1		TMEM38B	SH3GL1	
ANKK1		WNT1	GPT	
AP4E1		TNFRSF11A	NDUFV2	
APAF1		AMER1	B9D2	
ARHGAP17		CLCN7	CA12	
ARHGAP39		TCIRG1	PDE6G	
ATXN2L		TNFSF11	ZC3H14	
BMP2K		CA2	NRTN	
CARD10		OSTM1	KRT86	
CAST		PLEKHM1	PEX11B	
CCAR2		SNX10	BANF1	
CCDC60		SLC4A1	CACNA2D2	
CDK13		RRAS2	KIF23	
CSF1R		FSHR	OLFM2	
DDR1		BMP15	MYO1E	
DNMT1		PSMC3IP	ABCD3	
DSC2		SOX10	HOXB1	
DSPP		PCK2	BLNK	
ELMO3		KRT17	DIAPH3	
EPHA3		KRT6B	SP7	
EPHB6		KRT16	KDM5B	
ERBB2		KRT6A	CCDC103	
ERC1		SQSTM1	TRAF6	
FAM129B		TNFRSF11B	PHC1	
GALNT5		RSPO1	CXCR1	
HEATR2		AQP5	SLC5A7	
HLTF		SERPINB7	SLC31A1	
HYOU1		KRT9	HDAC4	
IGFALS		ACVR1B	CTNNA1	
IGSF9B		PNLIP	CRH	
IQSEC1		PRSS1	IL10	
ITGB2		SPINK1	RTN2	
KIAA1522		PAX2	CEP63	
LTF		SDHAF2	HNRNPA2B1	
MAML2		GIGYF2	MMP14	
MARS		HTRA2	RAX2	
MTMR3		FBXO7	UNC5C	
MYO1B		VPS35	PACS1	
NEMF		EIF4G1	ZFP36L1	
NOC4L		DNAJC6	KIF17	
NUP133		SYNJ1	RAB40AL	
PBRM1		PINK1	CREB1	
PCDH1		LRRK2	FANCM	
PDE3B		SLC6A3	ARHGEF28	
PDIA4		MR1	SMAD1	
PKD2L1		TGM5	ARHGEF15	
PLA2G4E		PLP1	CFL2	
PPP1R13B		DCXR	PRMT10	
PTPRN		TNFRSF1A	IL17F	
RAD54L		HTR1A	VPS37A	
RTN4		ARFGEF2	DIABLO	
SH3PXD2B		DIS3L2	TRHR	
SLC12A9		ACOX1	CNTN1	
SLC34A3		PEX3	TENM3	
SLC5A9		PEX13	ZNF408	
SNX29		PEX19	SLC39A13	
TBC1D1		PEX14	GLIS3	
TLDC1		PEX11B	MGST2	
TTC17		PEX1	TNFSF8	
TTC27		PEX5	NUDC	
UBA7		PEX12	NEK8	
UBE4B		PEX6	PLCZ1	
UBXN6		PEX10	DNAAF2	
ZDHHC8		PEX26	THBS1	
ZMYM6		PEX16	PIK3R2	
ZNF217		PEX7	SRGAP1	
ZNF827		HARS2	AKR1B1	
ZSCAN20		CLPP	GAL3ST4	
ACOX2		LARS2	DRD4	
APBA3		AMH	PLA2G7	
ASAP3		AMHR2	CD247	
ATRNL1		NKX2-6	IL17RA	
ATXN2		B3GALTL	MCM4	
BNC1		SHANK3	P2RX2	
BTBD7		PAH	MTO1	
C11orf30		PHGDH	P2RX1	
CAPN5		PGK1	HBM	
CCDC74B		PLA2G4A	POP1	
CDH15		PHKB	SHOC2	
CHAF1A		PSAT1	KNG1	
CLCNKB		SNAI2	PGR	
CRAMP1L		PDE11A	FGF10	
CRAT		PDE8B	PHF8	
CRTAC1		TCF4	DNAJB2	
DENND2C		NRXN1	TSPEAR	
DGKD		GNAI2	GOSR2	
DIAPH3		AIP	ATP6AP2	
DSC1		POU1F1	LGALS13	
DZIP1L		PROP1	ENTPD1	
EPHB4		LHX3	RPL35A	
EXOSC10		LHX4	YARS	
FAM13A		PRKCA	NLRP1	
FAM208A		CARD14	TIRAP	
FAM47C		PLCB2	ADAM17	
GUCY2D		CD36	ITCH	
HAP1		PLA2G7	KIAA0226	
IL17RA		PKD2	NDUFA12	
ITGAV		PKD1	TRPV3	
JARID2		PRKCSH	POU5F1	
LRCH4		SEC63	ICOS	
LRIG3		STRADA	SIRT1	
LRRC8E		TUBA8	NKX2-6	
LSR		RTTN	TMEM135	
MAML3		GPR56	PRM2	
NCKAP1L		TUBB2B	RBP3	
NCOA1		ABHD12	CHRM3	
ODF2		VRK1	TDRD7	
P2RY11		TSEN54	KCND2	
PCDH7		TSEN2	WIPF1	
PCDHB10		TSEN34	ATP8A2	
PCDHGA6		SEPSECS	APOA4	
PDE11A		EXOSC3	HOXA11	
PIK3R4		RARS2	ATP2B3	
PLCB3		CHMP1A	RAB10	
POMGNT1		RIPK4	SOBP	
PRR12		COL4A2	DNAL1	
PSD2		SART3	KIF22	
PTX4		UROD	FUT7	
R3HCC1L		PPOX	TPH2	
RGL3		ALAD	SCN10A	
RIPK4		HMBS	PDK3	
SEMA4G		UROS	TBX6	
SIMC1		NDN	SERPINA3	
SMG8		SNRPN	NDUFS3	
SPAG9		MAGEL2	LEPREL1	
SPIRE2		MKRN3	AGTR2	
SPOCD1		STOX1	HEATR2	
STON1		CORIN	LY96	
STRA6		NOBOX	KCNJ8	
SUGP2		FIGLA	PROCR	
TGFBI		DIAPH2	SLC16A1	
TM9SF1		CACNA1D	CFD	
TMF1		POLG2	ACSL4	
TRPS1		DNA2	MBD1	
USP4		TRPM4	ZBTB40	
WDR64		PEPD	COMT	
ZNF592		FLVCR2	NRXN2	
ZNF780B		PCCA	UQCRC2	
ZNF91		PCCB	HYAL1	
ZRANB3		RNASEL	C9	
ACSM2B		EPHB2	S1PR3	
ADAMTS4		FECH	PIGM	
AMBRA1		HSD17B3	XRCC2	
ATN1		WNK4	GPHN	
ATP7A		KLHL3	DNASE1	
BRDT		CUL3	ADAMTS18	
CCDC116		STX16	MED20	
CCDC39		GGCX	HSPB8	
CNTN5		IL36RN	MALT1	
CPED1		SNIP1	NID1	
CTNND1		SFTPA2	TICAM1	
CYP4A11		BMPR2	C8A	
DAG1		KCNK3	TIA1	
DGKZ		EIF2AK4	CALR3	
DOK3		CTSK	RNF170	
ECT2L		PSTPIP1	NDUFAF3	
EDC4		PNPO	GNAI3	
ELP2		PC	NDST1	
EPS8		PDHB	FSCN2	
FCHSD1		DLAT	NGF	
FILIP1		LIAS	SLCO1B3	
FNIP1		PDP1	PAX4	
FOXRED2		PLAU	CEP135	
FSIP2		MAK	DDOST	
GART		RNF168	CCDC50	
GIGYF2		HOXA11	FASN	
HAUS5		FAM20C	MYOM1	
HELQ		RNF212	ASCC3	
INO80		PHYH	SARS2	
ITGB6		UPK3A	NFATC1	
KCNH8		DIRC2	ATF3	
KIF2B		RNF139	UCHL1	
KLC4		OGG1	ZNF513	
KLKB1		TFE3	NDUFA11	
LEPRE1		PRCC	APOC3	
LILRA6		SLC5A2	PEX14	
LRRC37B		ATP6V0A4	ZNF141	
MFRP		SLC4A4	SLC26A8	
MOK		ACE	PLA2G2A	
NHS		AGT	VAMP1	
NPR1		PQBP1	YWHAE	
NTRK1		AK2	GON4L	
OTOP3		ADAM10	PON1	
PADI2		IGFBP7	MGST3	
PCSK5		KCNV2	MRPL12	
PLG		CACNA2D4	ACBD6	
PTPDC1		NRL	ACBD5	
RAPGEF4		C1QTNF5	FNIP1	
RICTOR		RP1	IDH2	
RIN1		PRPF31	SUPT5H	
SCAND3		PRPF8	NEFM	
SDHA		CA4	BCL9	
SEC23IP		RP2	TAF2	
SEC24D		EYS	IFITM5	
SEL1L3		CERKL	B4GALT1	
SEZ6L		FAM161A	ADCY5	
SLC28A1		FSCN2	NPAT	
SP100		TOPORS	GDI1	
STXBP5L		SNRNP200	IGFBP7	
SULF2		PRCD	KRT3	
TTBK1		MERTK	MOG	
TXNDC16		USH2A	HAL	
TYRP1		KLHL7	HOXB13	
WDR19		PDE6A	AQP4	
XRRA1		RGR	DLL1	
ZBTB21		CNGB1	GNB1L	
ZBTB40		IDH3B	IL31RA	
ZNF254		GUCA1B	PUS1	
ZNF347		CNGA1	NAGA	
ABCD4		C2orf71	SYNE4	
ADCY3		PDE6G	ALDH1A2	
AGAP1		ZNF513	EPB41L1	
AGBL2		DHDDS	NLGN2	
AMOTL2		PRPF6	ABCB1	
ATAD3A		CLRN1	RNF20	
ATRN		ROM1	SLC34A1	
BRD1		RP9	FCN2	
C1orf101		ARL2BP	NOL3	
CDH17		RBP4	HUWE1	
CEBPZ		RS1	YY1	
CHD2		FOXG1	SLBP	
CNTN4		RHCE	CRYBA2	
COG5		CYP2C8	ILK	
CROT		PAX7	MYPN	
DENND1C		AGPS	VAPB	
DNAI2		SLC52A1	EIF2S3	
EFCAB13		RPIA	FBLN1	
EFR3A		CYP2R1	MRRF	
ENPP2		BRAT1	LCK	
EPB42		KIAA0196	ALG13	
ERMP1		ESCO2	PRPF6	
ERV3-1		WNT5A	P2RX5	
EXOC4		SRPX2	FKBPL	
FAM83H		CREBBP	SOX3	
GCKR		CLEC4M	GATAD1	
GPRC6A		LCK	UQCRB	
GRB7		JAK3	XRCC3	
HERC6		FAM58A	HOXA10	
HPS1		SLC17A5	EXOC8	
IRAK2		HEXB	CPN1	
IRAK3		SS18	RGS7	
ITGA1		KCTD1	COX20	
ITSN1		SMARCAL1	CHUK	
KCNV2		SETBP1	KYNU	
KIAA1033		EMX2	MBD4	
KIAA1407		CHRNA7	KCNC3	
LPHN3		SLC35D1	NDUFA4	
LPP		ANO6	ITPR1	
MAML1		LEF1	OPTC	
MANBA		ZNF750	MYO5A	
MCM3		CEP63	MRPS22	
MFHAS1		NIN	PAK3	
MROH8		TH	SOX17	
MTMR7		KCNQ3	HK1	
MX2		ZAP70	MCHR1	
MYT1		IQCB1	NAA10	
NDST2		SDCCAG8	LRPPRC	
NEK1		IL2	CIDEC	
NRD1		NHEJ1	TECPR2	
NRP2		PTPRC	RALGDS	
NUP88		IL7R	ADRB2	
OSBP2		GHSR	CD3D	
PARP1		POC1A	GRIA3	
PC		NBAS	CRYGB	
PCDHGA9		IFT172	UBE2B	
PDGFRA		WDR34	KEAP1	
PDZRN4		IFT80	PICK1	
RASAL2		DYNC2H1	PLOD3	
RBL1		NEK1	SLC28A1	
SCN3A		WDR60	MTNR1A	
SELO		IFT140	PPP1R3A	
SH3BP4		SKI	LAMC1	
SMC2		SBDS	TFG	
SMCR8		NEU1	FGF14	
SPICE1		GPC3	ZNF335	
THEG		ABCG5	MED23	
TMC8		ALDH3A2	EIF4G1	
TRAK2		ARHGEF10	MTPAP	
TRIP12		TBX4	TMPRSS15	
TRPV5		DHCR7	LHX1	
USP29		RAI1	CPA6	
USP35		RAB33B	WDR81	
VAV2		SSTR5	MFSD6L	
WDR49		TIMP3	RPL26	
WDR87		KIF1C	CACNA1D	
ZNF226		MARS2	PRDM8	
ZNF532		SACS	TBC1D4	
ABCC5		KIF5A	EEF2	
ACACA		SPG11	MYLIP	
AKAP3		RTN2	RPIA	
AOC1		ZFYVE26	NIPSNAP3A	
APOBR		ERLIN2	EPB41	
ARMC5		B4GALNT1	MYD88	
ATP11B		DDHD1	TNC	
ATP13A1		ZFYVE27	MYH14	
ATRIP		FA2H	MGLL	
ATRX		PNPLA6	PTPRD	
BRIP1		SPAST	PLCG2	
BTAF1		GBA2	CACNB4	
CACNA2D3		AP4B1	NCS1	
CAMSAP2		AP5Z1	DRC1	
CASKIN1		TECPR2	PRSS12	
CCDC33		AP4M1	MRPL3	
CCDC37		AP4E1	ELK1	
CD44		AP4S1	RBP4	
CDK12		VPS37A	COX6B1	
CERCAM		DDHD2	MYO1A	
CHD1		CYP2U1	DNASE2	
COL21A1		NIPA1	MGAT2	
CPT1B		CEBPE	LAMB1	
CPXM1		FOXP2	RPL21	
CRYBG3		KLHL10	PRKG1	
CYP27A1		NANOS1	MED17	
DMGDH		SLC26A8	PIGA	
DPP7		SYCP3	LPA	
EFHB		SPATA16	TUBA8	
EHHADH		CATSPER1	CYP3A7	
EME2		DPY19L2	CIC	
FAM166A		USP9Y	NLRP2	
FBXW10		EPB42	EXPH5	
FERMT3		ANK1	HCN2	
FGGY		UBA1	RTTN	
FRMD4A		DNAJB2	FADD	
GBP1		BICD2	ERBB3	
GLIS1		ATXN1	CASC5	
GPR115		ATXN10	SPG21	
GRIK4		TTBK2	PSAT1	
GUCY2F		PPP2R2B	SERPINB6	
HDAC7		KCNC3	SSH1	
ITGA6		PRKCG	PRODH	
KL		ITPR1	GNMT	
LEPR		TBP	GLUL	
LPIN2		KCND3	DIAPH1	
LRRC32		ATXN2	HK2	
LSG1		PDYN	WNT8A	
MFSD6L		FGF14	AKAP9	
MTRR		TGM6	NGLY1	
NOP2		NOP56	AIMP1	
P2RX5		SPTBN2	AP4S1	
PADI4		ATXN7	COL14A1	
PCDH18		ANO10	ZNF674	
PCDHB14		SYT14	ATRIP	
PCDHGB6		GRM1	PIGN	
PDLIM7		ZNF592	USP34	
PDZRN3		TDP1	DLX5	
PELP1		SHFM1	TTI2	
PHLDB3		WNT10B	ADAT3	
PIK3R6		NKX3-2	CD81	
PITPNM3		SLC39A13	TNFRSF10B	
PKP1		DLL3	TMCO1	
PLK4		MESP2	PARL	
PRDM10		LFNG	SLC2A4	
RALGAPB		HES7	HOXA4	
SALL2		ACP5	SLC36A2	
SCAF8		KIF22	SLC25A19	
SEMA6A		TRAPPC2	CYP51A1	
SH3BP1		CHST3	DST	
SIN3B		DDR2	CHRM2	
SMPD4		TNFRSF10B	NR1H4	
SPATA5		ING1	THOC6	
SRGAP1		SHROOM4	CADM1	
TDRD7		NUP62	ZCCHC8	
TFIP11		LIFR	CD3G	
TGM2		ALDH5A1	NIPA1	
TRAPPC12		OXCT1	APCDD1	
TSHZ3		SI	RGS9	
TUBGCP5		TSPYL1	CNKSR1	
USP43		SUOX	MSTN	
XAB2		SFTPB	IYD	
ZNF493		SFTPC	WDR5	
ZNF507		ABCA3	CYP2C8	
ZNF560		CSF2RA	STAT2	
ZNF644		CSF2RB	ACTG2	
ZNF700		TEAD1	CR2	
ADAM22		FBLN1	SLC29A2	
ADAM32		DNASE1L3	CD320	
ADAM33		FOXN1	TLR9	
ARHGAP20		STK4	DEAF1	
ARHGAP4		RBM10	SRGAP3	
ATP4A		ENG	FOXN1	
ATXN7		ACVRL1	DYRK1A	
BLK		GDF2	SARDH	
C10orf90		CHSY1	RANGRF	
C11orf35		C12orf57	RPS7	
C16orf71		WNT3	FOXP1	
C1orf112		HBD	SYT14	
CACNA2D2		SLC19A3	PDLIM3	
CCDC73		TPK1	PTCD1	
CFB		SLC19A2	NDUFA9	
DCST1		CCDC8	PON2	
DENND5A		THPO	PPP1R3C	
DHX33		ANKRD26	MARS	
E4F1		CYCS	CFHR3	
EIF3A		MASTL	LTC4S	
EPB41L4B		RBM8A	NLGN4Y	
EPHB3		FCGR2C	KCNK18	
FAM129C		HRG	SAMD9	
FAM184A		SERPINC1	FOXD4	
FASTKD5		PROC	CTSH	
GRIN2A		PROS1	TACO1	
GRM4		THBD	SYNPO	
HKR1		ADAMTS13	LARS2	
ITGAL		DUOX2	FTCD	
KDM3A		MINPP1	CTHRC1	
LSS		GOLGA5	GPC6	
MAP4K2		NCOA4	UBR7	
MC1R		PCM1	WNK1	
MEI1		TRIM24	RELN	
MIPEP		TRIM33	ATP5E	
MOCOS		SLC5A5	CASP2	
MOCS1		TPO	KRT85	
MUSK		TG	CA1	
NEK11		IYD	NANOS1	
OTOA		DUOXA2	ATIC	
PAM		SECISBP2	SNAI2	
PCDHGA11		THRB	RSPH9	
PCF11		CCDC6	GAD1	
PODN		TRH	HDC	
POLR1B		TRHR	USP44	
PPP1R32		MITF	DAPK1	
PRMT10		C1GALT1C1	IDH3B	
RASGRF2		CYP2C9	CES1	
RNASEL		PAX9	VRK1	
RPH3A		LTBP3	SLC27A5	
SAGE1		SLITRK1	NLRP14	
SCYL1		SALL1	PTGIS	
SEC14L5		TALDO1	PTCH2	
SEZ6		TCN2	CYP2R1	
SLC18A1		TEC	DNAJC19	
SLC5A2		MED13L	RNLS	
SLC8A3		TCOF1	ADIPOQ	
SLC9A3		POLR1D		
SOS2		POLR1C		
SP140		TREH		
SPATA6L		TTC37		
TBXAS1		SKIV2L		
TCF25		TRPS1		
TEX2		ERCC3		
THBS3		GTF2H5		
TSKS		MPLKIP		
UBN2		HADHB		
VARS2		FMO3		
VCL		SPG20		
ZNF135		BAP1		
ZNF512B		SAMD9		
ZNF600		KL		
ZSCAN29		GALNT3		
ZSWIM5		RHBDF2		
ADAMTS1		TYK2		
ADARB2		FAH		
ADCY5		TAT		
ALDH4A1		GSTZ1		
AMER3		UVSSA		
AMOTL1		TBX3		
ANO6		ECM1		
ARHGEF15		UROC1		
ASIC3		HPSE2		
ATP2B3		LRIG2		
BTN2A1		HARS		
C14orf159		PDZD7		
C17orf70		ACADVL		
C19orf57		DCHS1		
C9orf3		FAT4		
CARD9		SCARF2		
CD248		TEK		
CD93		DPP6		
COLGALT1		CASQ2		
CRIPAK		CALM1		
CYP4F12		TRDN		
CYP4F22		PUF60		
EPHB2		ROBO2		
EPS8L1		SOX17		
FAP		EPG5		
FIGNL1		CYP27B1		
HCN3		VKORC1		
HK2		CAPN5		
HMHA1		LOR		
IDUA		VCAN		
JPH3		RAB3GAP1		
KCNG4		RAB18		
KRT74		DDX11		
KRT84		EZH2		
LBR		ADAMTS10		
LRIT1		ADAMTS17		
LRSAM1		TIA1		
LUZP1		KRT13		
MCM2		KRT4		
MECOM		ZC4H2		
MKL2		ATP7B		
MLPH		WIPF1		
MMP17		EIF2AK3		
MPO		CISD2		
MTHFD1L		DCAF17		
MYRF		XDH		
MZF1		XPA		
NARFL		XPC		
NCAPG		DDB2		
NFAT5		ERCC5		
NFATC2		POLH		
OLFML2B		SLC30A2		
OPA1		GCG		
OSBPL1A		AFP		
PCDHB16		AMPD3		
PCDHGA12		NAT2		
PIBF1		MC1R		
PIGO		HP		
PODNL1		AQP1		
PTCHD3		ABCC11		
QARS		RCBTB1		
RASA3		CD207		
RBBP8		CD55		
RGAG1		AQP3		
RNF157		ART4		
SBNO1		DARC		
SIPA1		GYPC		
SLC26A8		CD44		
SLC27A5		SEMA7A		
SLC5A11		KEL		
SLFN5		SLC14A1		
SPINT1		ICAM4		
STARD9		FUT3		
STK31		GYPA		
SYCP2L		BSG		
TF		ERMAP		
TMEM132B		GYPB		
TMEM63A		XG		
TMPRSS3		ACHE		
TRIP10		ATP1B1		
UBE2O		RGS5		
ULK2		SELE		
WDR16		FUT1		
WDR33		FUT2		
ZC3H7B		OR2J3		
ZNF33A		EPOR		
ZNF418		NPC1L1		
ZNF443		GCKR		
ZNF574		KHK		
ZNF749		GGT2		
ACSM5		AQP7		
AGTPBP1		HAGH		
AMPD3		VNN1		
ASCC2		PLTP		
AUTS2		SCARB1		
BCAM		KNG1		
BRPF3		HAL		
CAPN11		IMPDH2		
CARS		PHF11		
CCDC15		FCGR1A		
CD276		ITPA		
CHAT		IL6R		
CSGALNACT1		ABCG2		
CTAGE1		KLK1		
CYP1A1		IGKC		
CYP2A6		LPA		
DHX35		HMGCR		
DHX38		SORT1		
DUS3L		WWC1		
EPS15L1		TAS2R38		
FIBCD1		CSH1		
GGCX		GIPR		
GPNMB		PROZ		
GPR156		ADRB1		
GRIK3		RHD		
GRIP1		SARDH		
IMPG1		BHLHE41		
ITGA5		TPCN2		
KARS		SLC24A4		
KIF20A		ASIP		
KLHL38		SOD3		
KRT6B		SLC17A3		
KRT71		VWF		
KRT75		AKR1C4		
LILRB4		APCS		
LNX1		TACC3		
MECP2		NQO2		
MLLT10		ACSM3		
MPEG1		SLC1A1		
NCAPG2		NRG1		
NUGGC		KIR3DL1		
ORC1		IFNG		
OTUD4		CXCL12		
PARP9		CXCR1		
PCDHGB3		IL4R		
PCDP1		HLA-B		
PET112		MDM2		
RAP1GAP		ADH1B		
RASGRF1		PLEKHA1		
RBM12B		GABRA2		
RC3H2		HTR2A		
RETSAT		TAS2R16		
SCFD2		IL13		
SLCO1A2		NOS3		
SMPD3		APBB2		
SOS1		SORL1		
SRGAP3		BLMH		
ST6GALNAC1		NEFH		
TLE6		PRPH		
TMTC4		TRPM7		
TRMT2A		XPNPEP2		
TTC31		SLC6A4		
USP10		NLGN3		
VARS		IRAK3		
VWA5A		PTGER2		
XYLT2		ALOX5		
YY1AP1		MUC7		
ZBTB4		PTGDR		
ZHX2		NPSR1		
ZNF594		HLA-G		
ZNF839		CCL11		
AASS		HNMT		
ACAD11		SCGB1A1		
ACSM1		SCGB3A2		
ADAMTS15		TNF		
AFTPH		CHI3L1		
ALOX15B		HAVCR1		
ANKDD1A		MS4A2		
ANKLE1		SELP		
APLP1		TPH2		
ARHGEF37		SHANK2		
ASPSCR1		CHD8		
ATG9B		EIF4E		
ATP2A1		RPL10		
ATXN1		FOXD3		
BAHD1		SIAE		
BAZ1A		TIRAP		
C1orf168		CISH		
CCDC170		CCDC28B		
CCDC19		NQO1		
CFHR5		HLA-DPB1		
CKAP2L		TBXA2R		
CLEC4F		TERT		
CTDP1		UGT2B17		
CWF19L2		LGR4		
DAK		BARD1		
DGKH		HMMR		
DIAPH1		PHB		
ENPP7		XRCC3		
FASTKD1		BRCA1		
FBXO10		FGFR4		
FCRL2		AKAP10		
FDXR		HABP2		
FNIP2		CTLA4		
FSCB		MYO9B		
GBGT1		HLA-DQA1		
GLB1L3		HLA-DQB1		
GRHL3		MTMR14		
HDAC10		PRKCH		
HEPH		MBL2		
IARS2		CYP2D6		
IGKV4-1		ABCB1		
ILVBL		AURKA		
INSC		ODC1		
IPO8		GALNT12		
ITGB7		SMAD7		
KRT5		CCND1		
KRT73		TLR2		
LARP1B		PLA2G2A		
LILRA1		DSTYK		
LILRA2		ADRA2C		
LILRA3		MEF2A		
MAST3		LRP6		
MME		CCL2		
MTMR11		CX3CR1		
NCKIPSD		IRS1		
NEU4		PON1		
PAH		PON2		
PCDHB11		KALRN		
PCDHB2		MMP3		
PEPD		IL6		
PEX5		ATP2B2		
PHF12		AANAT		
PHKG1		CD209		
PLCD4		CCR5		
POM121		SUMO4		
PRMT7		CAPN10		
PRSS12		CDKAL1		
RASAL1		HMGA1		
RNF40		IGF2BP2		
SGIP1		RETN		
SLC22A10		SLC30A8		
SLC22A13		GCGR		
SLC27A4		IRS2		
SLC4A1		MAPK8IP1		
SLC6A16		SLC2A4		
SLFN11		PLAGL1		
SMPD1		OAS1		
STEAP3		TCF7L2		
TDP1		MTNR1B		
TLR1		ITPR3		
TMEM132E		PTPN22		
TPSG1		GPD2		
TRMT1		HBEGF		
TRO		FAAH		
UNC13A		KIAA0319		
WDR11		RANBP2		
ZC3HAV1		TICAM1		
ZNF521		APOL1		
ABCF3		GABRA1		
ABLIM3		CACNA1H		
ADAMTS8		GABRD		
ADD2		CLCN2		
ALOXE3		ME2		
ARID4B		EFHC1		
C14orf37		DRD3		
C1orf116		LOXL1		
C9orf96		IL1B		
CADPS2		HDC		
CASS4		IDH1		
CCDC110		GLCCI1		
CCDC146		IL10		
CCDC148		GC		
CCDC78		PTPRZ1		
CCNF		CCL3		
CHIA		CCR2		
CNTN3		CCL5		
CORO2A		HLA-C		
CPXM2		CCL3L1		
CYP4F2		TLR3		
DHCR7		CFHR1		
DNAI1		CFHR3		
DNAJC6		IFNAR2		
DPP9		IFNL3		
DVL2		TRAF3		
ECEL1		PPARA		
EIF5B		EPHX2		
ERCC3		ITIH4		
EXOC3L1		USF1		
EXOC6		HLA-A		
FES		KCNMB1		
FGD2		ADD1		
FOXM1		GNB3		
GLG1		CYP3A5		
GNL2		LIPI		
GPR114		HS6ST1		
GPR162		SEMA3A		
GPRC5C		ATG16L1		
GRID2		IRF5		
GRIN3A		IL23R		
GRN		IFITM3		
GTF2IRD1		PTPN1		
HDLBP		ITPKC		
HSD17B4		AGRP		
IL17RD		TLR5		
IQSEC3		TLR1		
IREB2		LTA		
KATNB1		PAX5		
KCNH4		HOXD4		
KLB		CHIC2		
LIG3		LMNB2		
LMF1		ALG10		
LRRN2		ASPN		
MAP3K5		CILP		
MCAM		THBS2		
MDGA1		CHRNA3		
MICALL1		CHRNA5		
MMP15		FCGR2A		
MMP19		HMCN1		
MTSS1L		XBP1		
MYBPC1		FKBP5		
NTSR1		ICAM1		
OSBPL3		NCR3		
OSBPL7		FCGR2B		
PAK6		CDK4		
PBXIP1		SMARCE1		
PDE6C		EPO		
PIEZO1		SOD2		
PIGN		KCNK18		
PLCG1		RNF213		
PLEKHM1		PDCD1		
POGZ		HLA-DRB1		
PSG3		IL12RB1		
PYGL		IFNGR2		
SHKBP1		MC3R		
SLC11A1		PSMA6		
SLC7A14		GCLM		
SLITRK5		LGALS2		
SPATC1		LRP8		
SYTL3		OLR1		
TMEM132D		TNFSF4		
TTLL2		ZNF365		
TUT1		T		
USP25		ALK		
VTN		SDC3		
WDR65		UCP3		
WDR78		SLC6A14		
ZNF334		MRAP2		
ZNF366		UCP2		
ZNF559		ADRB3		
ZNF808		GHRL		
ZSCAN2		UCP1		
AGMO		FFAR4		
ALOX15		PPARGC1B		
ANKRD44		PYY		
APBA2		FRZB		
ARHGAP24		CALCR		
AXL		OPCML		
BCMO1		PALLD		
C8B		CTRC		
CALCOCO1		COMT		
CCDC27		MAX		
CEACAM5		TMEM127		
CLCA1		ANXA5		
CPNE1		EHBP1		
CPT1C		MSMB		
CTNND2		HIP1		
CYP1A2		CD82		
DCAF4		ZFHX3		
DPP10		KRT75		
EPAS1		XYLT1		
ESYT2		XYLT2		
F13A1		MUC5B		
FAM13B		SFTPA1		
FAM154A		ANGPTL4		
FAM161B		BICC1		
FAM178A		CD244		
FAM83G		NFKBIL1		
FBXO18		PADI4		
FBXW8		SLC22A4		
FHAD1		MIF		
FKBP10		BTNL2		
GEN1		DISC1		
GNAS		RTN4R		
GOLIM4		APOL2		
GPD2		APOL4		
GRAMD1A		DAO		
HDAC5		DAOA		
HHIPL2		CASP12		
IFT88		TM4SF20		
IGSF1		DAZL		
IL4R		ALOX5AP		
INPP5B		BANK1		
KCTD19		DNASE1		
KIRREL2		STAT4		
LZTS2		ITGAM		
MAP3K1		MYB		
MASTL		NDUFA13		
MCM6		SERPINA10		
