Background	FLAGS	OMIM	HGMD	WES
BIRC6		GATA4	CREBBP	FARS2
DMXL1		SLC34A2	KCNQ1	HEATR2
PDZD2		TBXAS1	CEP290	HYDIN
COL6A6		MMP14	GNAS	PLCG2
MYO7A		SLC9A9	RUNX2	RMND1
CENPF		EDNRB	CYP21A2	TMEM231
FBN2		ACAD9	ZEB2	TMEM38B
TNXB		GNAS	ADAR	CD59
NCOR2		TP63	COMP	CYP26C1
SPEN		ATIC	SHH	HOXC13
ATM		FGD1	SLC2A1	IGSF1
DNHD1		SOX9	SMPD1	KCNT1
HYDIN		CAT	LMX1B	NIN
DYSF		ACACA	CHM	PNPT1
TUBGCP6		AAAS	PRKAR1A	SKI
PCDH15		LMBR1	GLB1	SLC29A3
TSC2		SLC26A2	AGL	ZNF141
DMBT1		TRIP11	CYP1B1	ACTG2
RANBP2		COL2A1	ARSB	ANO3
MUC4		FGFR3	SOD1	CCDC114
FLNC		PDE6H	CRB1	DGAT1
NBAS		CNGA3	CDH23	DGKE
EP400		CNGB3	G6PD	DHTKD1
IGF2R		GNAT2	EYA1	EPS8L3
FASN		IGFALS	RS1	EXPH5
SZT2		NCSTN	ATP2C1	GNAL
MUC6		PSENEN	SACS	HERC2
AGRN		PSEN1	ITGA2B	INPPL1
FLNB		KIF7	CBS	KCND3
ROS1		IHH	PLP1	LRIT3
SLX4		SLC39A4	CFH	PACS1
TRPM2		PRKAR1A	NAGLU	PDGFRB
WDR90		PDE4D	BTD	PLA2G4A
CCDC108		SF3B4	HEXA	SLC5A7
COL12A1		ATP2A2	CDKN2A	TECPR2
GPR179		GDF5	PYGM	UBE3B
TRIOBP		NPR2	GCDH	UQCRC2
ZZEF1		FBN1	RPS6KA3	WDR45
MYBBP1A		PIK3CD	CHST6	AP4B1
PLB1		ACADM	FH	AP4E1
FREM1		ACADS	CLCN5	DPAGT1
MYO7B		ARHGAP31	PDHA1	PGM1
POLE		DOCK6	OFD1	POLR3B
PRUNE2		RBPJ	ACADVL	CUL3
RYR2		EOGT	DHCR7	PIK3R2
NAV2		APRT	MAN2B1	PIK3CA
SETX		EGFR	LAMA2	GNAI3
CFTR		BRAF	F5	MTFMT
DOCK8		ERBB2	RPS19	SMARCA4
ANKRD11		RAD54L	GLI3	SMARCA2
CNTRL		APC	F10	SMARCE1
CPAMD8		MUTYH	OTC	ARID1A
FANCA		PLAG1	ADAMTS13	ACTG1
DOPEY2		ADA	OCA2	SLC26A3
SEC16A		PKLR	SPG11	HSD17B4
NBEAL2		ADSL	RHO	VCP
TNC		SMARCAD1	DCX	BAG3
ITPR3		ADIPOQ	SGSH	NOTCH2
MGAM		MEN1	SHOX	PTH1R
MYH7B		TP53	TWIST1	SLC16A2
CROCC		CYP11B1	NPHS2	DNAJC5
ITGB4		CYP21A2	CDKL5	SLC29A3
SPTBN2		CYP11A1	APOB	SMAD4
VPS13A		TBX19	COL5A1	TK2
OTOGL		ABCD1	SDHD	KAT6B
PCM1		GCNT2	TAZ	PIGA
SH3TC1		PER2	GNPTAB	DYNC1H1
SOGA2		CSNK1D	FGFR1	LOXHD1
ZFYVE26		FGA	PANK2	BLOC1S6
EPG5		FGB	WT1	CAV1
EVPL		IGHM	TGM1	MPL
HIVEP3		IGLL1	ABCB4	ABCC9
MEGF8		CD79A	LPL	DNMT1
SRCAP		BLNK	PKP2	KIF7
BOD1L1		LRRC8A	MFN2	RSPH9
TEX15		CD79B	SLC3A1	GPSM2
NPHP4		PIK3R1	GALT	GRN
TLN2		BTK	FAS	PIK3CA
UTP20		SLC12A6	ABCA1	TCF4
DSP		PRRX1	FOXL2	TTN
MPDZ		TREX1	THRB	ASAH1
REV3L		RNASEH2B	PAX3	DPAGT1
CSPG4		RNASEH2C	TMEM67	GATA1
INTS1		RNASEH2A	CDH1	REEP1
CEP350		SAMHD1	VPS13B	FUS
KANK1		ADAR	GALC	HDAC8
MYCBP2		GMPPA	UROD	ATP1A3
POLQ		NOTCH2	HGD	MVK
SPG11		JAG1	HNF4A	MYBPC1
BDP1		CACNA1F	FLNA	KCNJ13
COL6A2		LARP7	NDP	LHCGR
CUL9		OCA2	PCDH19	AFG3L2
FOCAD		TYR	F13A1	ELOVL4
LAMC3		TYRP1	CHRNE	AIFM1
MXRA5		SLC45A2	VPS13A	C12orf65
